iter	Passed	Remaining
401	16486	24524
402	16526	24481
403	16565	24437
404	16606	24396
405	16647	24356
406	16691	24318
407	16729	24274
408	16767	24229
409	16808	24187
410	16847	24143
411	16886	24100
412	16927	24059
413	16967	24016
414	17006	23973
415	17044	23928
416	17082	23883
417	17121	23839
418	17160	23795
419	17197	23749
420	17237	23706
421	17275	23661
422	17314	23618
423	17355	23576
424	17393	23532
425	17432	23488
426	17471	23445
427	17512	23404
428	17553	23364
429	17596	23326
430	17640	23289
431	17682	23248
432	17722	23207
433	17763	23166
434	17803	23123
435	17842	23080
436	17882	23038
437	17922	22996
438	17964	22957
439	18005	22915
440	18045	22873
441	18083	22829
442	18123	22786
443	18162	22744
444	18201	22700
445	18241	22658
446	18279	22614
447	18317	22569
448	18357	22528
449	18395	22482
450	18434	22439
451	18473	22396
452	18515	22358
453	18557	22318
454	18596	22274
455	18634	22230
456	18674	22188
457	18714	22146
458	18753	22104
459	18793	22061
460	18833	22019
461	18875	21980
462	18925	21950
463	18969	21913
464	19006	21867
465	19047	21826
466	19085	21782
467	19124	21739
468	19163	21697
469	19203	21655
470	19243	21612
471	19281	21568
472	19321	21527
473	19359	21483
474	19398	21440
475	19444	21405
476	19486	21365
477	19533	21331
478	19575	21292
479	19613	21247
480	19653	21205
481	19692	21163
482	19737	21126
483	19776	21083
484	19821	21047
485	19863	21007
486	19900	20963
487	19939	20920
488	19980	20879
489	20018	20835
490	20058	20793
491	20096	20749
492	20136	20708
493	20176	20666
494	20215	20623
495	20253	20580
496	20293	20538
497	20330	20494
498	20373	20454
499	20418	20418
500	20464	20382
501	20502	20338
502	20540	20295
503	20581	20254
504	20619	20210
505	20659	20169
506	20701	20129
507	20740	20086
508	20778	20044
509	20818	20001
510	20857	19959
511	20898	19919
512	20937	19876
513	20976	19833
514	21014	19789
515	21053	19747
516	21093	19706
517	21131	19663
518	21170	19620
519	21209	19577
520	21246	19533
521	21284	19490
522	21334	19457
523	21383	19424
524	21426	19386
525	21507	19381
526	21613	19399
527	21661	19364
528	21708	19327
529	21752	19290
530	21805	19259
531	21861	19231
532	21923	19208
533	21983	19184
534	22030	19147
535	22072	19107
536	22115	19067
537	22157	19027
538	22201	18988
539	22242	18947
540	22290	18912
541	22338	18876
542	22396	18849
543	22463	18829
544	22514	18796
545	22560	18758
546	22604	18719
547	22648	18681
548	22688	18638
549	22733	18600
550	22775	18559
551	22818	18518
552	22860	18478
553	22902	18437
554	22946	18398
555	22986	18356
556	23025	18312
557	23062	18268
558	23100	18224
559	23143	18183
560	23184	18142
561	23236	18109
562	23287	18075
563	23342	18044
564	23394	18011
565	23440	17974
566	23489	17938
567	23536	17901
568	23587	17866
569	23634	17829
570	23679	17790
571	23727	17753
572	23775	17717
573	23821	17679
574	23863	17637
575	23910	17600
576	23976	17577
577	24025	17541
578	24088	17514
579	24164	17498
580	24250	17488
581	24336	17478
582	24401	17453
583	24454	17419
584	24502	17382
585	24548	17343
586	24594	17304
587	24638	17263
588	24681	17222
589	24720	17178
590	24760	17135
591	24806	17096
592	24849	17055
593	24894	17015
594	24941	16976
595	24987	16937
596	25033	16898
597	25090	16866
598	25139	16829
599	25193	16795
600	25238	16755
601	25295	16723
602	25337	16681
603	25379	16639
604	25423	16599
605	25471	16560
606	25517	16521
607	25560	16479
608	25600	16436
609	25640	16393
610	25689	16355
611	25730	16312
612	25773	16271
613	25814	16228
614	25857	16187
615	25902	16147
616	25949	16108
617	25989	16064
618	26032	16023
619	26077	15983
620	26119	15940
621	26160	15898
622	26201	15855
623	26242	15812
624	26282	15769
625	26320	15725
626	26360	15681
627	26397	15636
628	26437	15593
629	26477	15550
630	26516	15506
631	26555	15462
632	26595	15419
633	26640	15379
634	26680	15335
635	26721	15293
636	26760	15249
637	26810	15212
638	26855	15171
639	26893	15127
640	26930	15082
641	26986	15048
642	27029	15006
643	27082	14971
644	27132	14933
645	27217	14914
646	27272	14879
647	27318	14839
648	27381	14809
649	27429	14769
650	27476	14730
651	27517	14687
652	27561	14645
653	27602	14602
654	27642	14559
655	27681	14515
656	27722	14473
657	27760	14428
658	27802	14386
659	27841	14342
660	27882	14299
661	27926	14258
662	27967	14215
663	28009	14173
664	28056	14133
665	28096	14090
666	28136	14047
667	28175	14003
668	28215	13960
669	28253	13916
670	28292	13872
671	28329	13827
672	28367	13783
673	28408	13740
674	28446	13696
675	28486	13653
676	28527	13610
677	28564	13566
678	28605	13523
679	28645	13480
680	28685	13436
681	28724	13393
682	28761	13349
683	28802	13306
684	28846	13265
685	28894	13225
686	28938	13184
687	28988	13145
688	29029	13103
689	29070	13060
690	29112	13018
691	29152	12975
692	29197	12934
693	29239	12892
694	29297	12857
695	29345	12817
696	29387	12775
697	29431	12734
698	29478	12694
699	29517	12650
700	29565	12610
701	29605	12567
702	29643	12523
703	29683	12480
704	29723	12437
705	29765	12395
706	29810	12354
707	29859	12315
708	29903	12273
709	29949	12232
710	29990	12190
711	30029	12146
712	30067	12103
713	30106	12059
714	30148	12017
715	30185	11973
716	30224	11929
717	30263	11886
718	30303	11843
719	30345	11800
720	30384	11757
721	30426	11715
722	30464	11671
723	30504	11628
724	30544	11585
725	30582	11542
726	30619	11498
727	30659	11455
728	30697	11411
729	30738	11368
730	30782	11327
731	30832	11288
732	30877	11247
733	30917	11204
734	30959	11162
735	30999	11119
736	31037	11075
737	31080	11033
738	31122	10991
739	31165	10950
740	31205	10907
741	31244	10863
742	31284	10821
743	31321	10777
744	31363	10735
745	31403	10692
746	31444	10649
747	31486	10607
748	31525	10564
749	31564	10521
750	31603	10478
751	31640	10434
752	31681	10392
753	31726	10350
754	31770	10309
755	31811	10267
756	31852	10224
757	31892	10182
758	31929	10138
759	31967	10095
760	32009	10053
761	32050	10010
762	32088	9967
763	32125	9923
764	32163	9880
765	32201	9837
766	32241	9794
767	32279	9751
768	32323	9709
769	32364	9667
770	32405	9624
771	32444	9581
772	32481	9538
773	32519	9495
774	32558	9452
775	32597	9409
776	32642	9368
777	32682	9325
778	32727	9284
779	32773	9243
780	32812	9201
781	32853	9158
782	32892	9115
783	32931	9073
784	32971	9030
785	33013	8988
786	33055	8946
787	33094	8903
788	33134	8861
789	33173	8818
790	33212	8775
791	33255	8733
792	33294	8690
793	33336	8648
794	33375	8606
795	33414	8563
796	33452	8520
797	33491	8477
798	33531	8435
799	33570	8392
800	33618	8352
801	33668	8312
802	33709	8269
803	33751	8228
804	33792	8185
805	33832	8143
806	33871	8100
807	33911	8058
808	33951	8015
809	33989	7972
810	34029	7930
811	34069	7887
812	34111	7846
813	34154	7804
814	34197	7762
815	34235	7719
816	34278	7677
817	34317	7635
818	34355	7592
819	34394	7549
820	34433	7507
821	34471	7464
822	34510	7422
823	34557	7381
824	34601	7339
825	34648	7298
826	34692	7257
827	34798	7228
828	34880	7194
829	34930	7154
830	34974	7112
831	35027	7072
832	35071	7031
833	35120	6990
834	35171	6950
835	35209	6907
836	35250	6864
837	35292	6822
838	35330	6779
839	35368	6736
840	35408	6694
841	35447	6651
842	35491	6610
843	35534	6567
844	35574	6525
845	35617	6483
846	35656	6440
847	35696	6398
848	35735	6355
849	35775	6313
850	35816	6271
851	35855	6228
852	35894	6185
853	35934	6143
854	35973	6100
855	36013	6058
856	36052	6015
857	36094	5973
858	36133	5931
859	36176	5889
860	36217	5846
861	36253	5803
862	36292	5761
863	36332	5719
864	36369	5676
865	36413	5634
866	36456	5592
867	36504	5551
868	36551	5510
869	36592	5467
870	36638	5426
871	36686	5385
872	36732	5343
873	36779	5302
874	36833	5261
875	36881	5220
876	36929	5179
877	36977	5138
878	37022	5096
879	37063	5054
880	37102	5011
881	37150	4970
882	37193	4928
883	37231	4885
884	37269	4842
885	37308	4800
886	37354	4758
887	37404	4717
888	37449	4675
889	37494	4634
890	37538	4592
891	37580	4550
892	37630	4508
893	37689	4468
894	37742	4427
895	37794	4386
896	37842	4345
897	37890	4303
898	37937	4262
899	37985	4220
900	38034	4179
901	38085	4137
902	38133	4096
903	38182	4054
904	38231	4013
905	38281	3971
906	38338	3931
907	38391	3889
908	38447	3848
909	38497	3807
910	38539	3765
911	38584	3723
912	38637	3681
913	38692	3640
914	38753	3600
915	38804	3558
916	38854	3516
917	38907	3475
918	38987	3436
919	39041	3394
920	39089	3352
921	39134	3310
922	39178	3268
923	39228	3226
924	39284	3185
925	39332	3143
926	39379	3101
927	39425	3058
928	39474	3016
929	39527	2975
930	39584	2933
931	39628	2891
932	39685	2849
933	39726	2807
934	39770	2764
935	39839	2724
936	39911	2683
937	39955	2640
938	39998	2598
939	40043	2555
940	40087	2513
941	40127	2470
942	40170	2428
943	40217	2385
944	40259	2343
945	40305	2300
946	40347	2258
947	40387	2215
948	40429	2172
949	40468	2129
950	40510	2087
951	40551	2044
952	40593	2002
953	40634	1959
954	40676	1916
955	40715	1873
956	40755	1831
957	40794	1788
958	40832	1745
959	40870	1702
960	40911	1660
961	40950	1617
962	40991	1574
963	41030	1532
964	41069	1489
965	41111	1446
966	41156	1404
967	41201	1362
968	41243	1319
969	41282	1276
970	41322	1234
971	41362	1191
972	41401	1148
973	41440	1106
974	41482	1063
975	41521	1021
976	41562	978
977	41605	935
978	41650	893
979	41700	851
980	41757	808
981	41814	766
982	41857	723
983	41896	681
984	41941	638
985	41985	596
986	42027	553
987	42067	510
988	42116	468
989	42162	425
990	42217	383
991	42265	340
992	42310	298
993	42350	255
994	42389	213
995	42434	170
996	42473	127
997	42514	85
998	42554	42
999	42597	0
