iter	MultiClass
120	0.6606252328
121	0.6579519464
122	0.6552962506
123	0.6527441898
124	0.6501825866
125	0.6478528204
126	0.6451943384
127	0.6433600112
128	0.6409668113
129	0.6383744848
130	0.6363014559
131	0.6342001465
132	0.6314919975
133	0.6297984262
134	0.6276769774
135	0.6251433852
136	0.6228089172
137	0.6209178259
138	0.61789767
139	0.6143647972
140	0.610788004
141	0.6078782925
142	0.6060818685
143	0.6043824739
144	0.6026497618
145	0.6006336
146	0.5986825477
147	0.5965411208
148	0.5939292711
149	0.5918930177
150	0.5900343647
151	0.5866067837
152	0.5850930138
153	0.5832185738
154	0.580985106
155	0.5790579753
156	0.5772151107
157	0.5755918733
158	0.573925474
159	0.5722825652
160	0.5705987315
161	0.5689792701
162	0.5677815013
163	0.5658508012
164	0.5639582521
165	0.5620065974
166	0.5603537579
167	0.5586604739
168	0.5562692556
169	0.5546621844
170	0.5530629918
171	0.5518240609
172	0.5502139409
173	0.5485837262
174	0.5468269455
175	0.545365835
176	0.5438474057
177	0.5421147566
178	0.5407341723
179	0.5390399683
180	0.5370975813
181	0.535789198
182	0.5345329639
183	0.5329760802
184	0.5313840536
185	0.5303010866
186	0.5290203281
187	0.5267551227
188	0.5256481037
189	0.5235036774
190	0.5221492062
191	0.5205089284
192	0.5193649457
193	0.5178780568
194	0.5166634866
195	0.5148683621
196	0.5139417447
197	0.5126428733
198	0.5116372475
199	0.5100393739
200	0.509027938
201	0.5078095956
202	0.5065312157
203	0.5051821551
204	0.5041395161
205	0.5027389677
206	0.5011914162
207	0.4999515758
208	0.4983772103
209	0.4973643686
210	0.4960506548
211	0.4948794383
212	0.4937411902
213	0.4924119367
214	0.4912895818
215	0.4899093246
216	0.4889491702
217	0.48782876
218	0.4867411752
219	0.485096843
220	0.4841127348
221	0.4831058772
222	0.4818316301
223	0.4808972193
224	0.4798982866
225	0.4786837822
226	0.4775168654
227	0.4762979787
228	0.4752030835
229	0.4741626235
230	0.4730110569
231	0.4720485578
232	0.4713088651
233	0.4702604081
234	0.469169258
235	0.468272409
236	0.4671603531
237	0.4662370372
238	0.4648814844
239	0.4641123108
240	0.4631504418
241	0.4620658815
242	0.4612091079
243	0.4600850273
244	0.4589673672
245	0.4576891968
246	0.4565097363
247	0.4554708194
248	0.4539247963
249	0.4528166891
250	0.4521408855
251	0.4512083943
252	0.4502616594
253	0.4492522928
254	0.4482760621
255	0.4474410133
256	0.4465088816
257	0.4458651883
258	0.4450304586
259	0.4442894428
260	0.4434374628
261	0.4425777683
262	0.4417600742
263	0.440816151
264	0.4402317211
265	0.4394284332
266	0.4386722747
267	0.4377301433
268	0.437051675
269	0.4362528949
270	0.4353606312
271	0.4344552855
272	0.4331715103
273	0.4325355102
274	0.4315812745
275	0.4308941275
276	0.4299232328
277	0.4291208043
278	0.4283215088
279	0.4269877679
280	0.4262298595
281	0.4250652156
282	0.4242945507
283	0.4234936291
284	0.4226370745
285	0.4219093393
286	0.4210369607
287	0.4201290998
288	0.4193037438
289	0.4185404777
290	0.4176955866
291	0.4169675909
292	0.4162405584
293	0.4154297732
294	0.4147055199
295	0.4140901227
296	0.4134169604
297	0.4126236236
298	0.4118945739
299	0.4108061449
300	0.4100509597
301	0.4090906802
302	0.4084396356
303	0.407578225
304	0.4068215889
305	0.4063539641
306	0.4057943903
307	0.4050872309
308	0.4044259363
309	0.4038323902
310	0.403131802
311	0.4023984931
312	0.4016720648
313	0.4010101646
314	0.4004772222
315	0.399906432
316	0.3989033986
317	0.398304511
318	0.3974792517
319	0.3968028485
320	0.396156178
321	0.3956163899
322	0.3949162005
323	0.3943013287
324	0.3934327258
325	0.3927651254
326	0.392194742
327	0.3917233448
328	0.3911067928
329	0.3904871257
330	0.3899070284
331	0.3892767086
332	0.3886720838
333	0.3874634044
334	0.3869427258
335	0.3859726366
336	0.3853040555
337	0.3846424834
338	0.3838778559
339	0.3833115178
340	0.382652066
341	0.3819172736
342	0.3813307263
343	0.3807990114
344	0.3800867996
345	0.3794824149
346	0.3789835958
347	0.3782583424
348	0.3777916817
349	0.3773530006
350	0.3767814574
351	0.3761849019
352	0.3754543306
353	0.3749304048
354	0.3741614001
355	0.3735261513
356	0.3730161466
357	0.3723576397
358	0.3716566711
359	0.3712445041
360	0.3707455679
361	0.3702507667
362	0.3696772501
363	0.369211693
364	0.3685498288
365	0.367946463
366	0.3673906666
367	0.3666772529
368	0.3661573931
369	0.3656864341
370	0.3650882188
371	0.3646804525
372	0.3642915325
373	0.3636611399
374	0.363152413
375	0.3625828555
376	0.3620516426
377	0.3614905691
378	0.3610191152
379	0.3605349546
380	0.3600200931
381	0.3595507746
382	0.3589829228
383	0.3586050144
384	0.3581081704
385	0.3575967678
386	0.3570274497
387	0.3566705666
388	0.3562419571
389	0.3558280006
390	0.3553533219
391	0.3549648566
392	0.3544379314
393	0.3539626541
394	0.3534403466
395	0.3530218979
396	0.3525445727
397	0.3520395969
398	0.3516081967
399	0.3511035285
400	0.3506055969
401	0.350037508
402	0.3494691902
403	0.3489978463
404	0.3485966901
405	0.3481836753
406	0.34780316
407	0.347252492
408	0.3466544806
409	0.3461933968
410	0.3458276839
411	0.345338865
412	0.344687224
413	0.3442476379
414	0.3437845325
415	0.34330257
416	0.3428689072
417	0.3424243758
418	0.3419333256
419	0.3416391637
420	0.3411854064
421	0.3406930379
422	0.340175349
423	0.3397576384
424	0.3392664533
425	0.3388727709
426	0.3383783358
427	0.3378955676
428	0.3374564189
429	0.3370933501
430	0.3366374844
431	0.3362628831
432	0.3358740926
433	0.3355051295
434	0.3350002192
435	0.3346330679
436	0.3339536611
437	0.3335849057
438	0.3330111732
439	0.3325697684
440	0.3322416358
441	0.3317672089
442	0.3311615028
443	0.3308630139
444	0.3304662748
445	0.3301114398
446	0.3297457975
447	0.3292312683
448	0.3289392085
449	0.3285342204
450	0.3281705701
451	0.3277433658
452	0.3273337134
453	0.3268932992
454	0.3265180734
455	0.3261390611
456	0.3256700749
457	0.3252510484
458	0.3247998832
459	0.3243501939
460	0.3239548945
461	0.3234913626
462	0.323089806
463	0.3226994816
464	0.3223074294
465	0.3219847111
466	0.3216417952
467	0.321212617
468	0.3208639389
469	0.3205035305
470	0.3200677744
471	0.3196614669
472	0.3193118689
473	0.3188449876
474	0.3185066239
475	0.3182455354
476	0.317982613
477	0.3174896234
478	0.3171125855
479	0.316818915
480	0.3163929982
481	0.3159206425
482	0.3156518996
483	0.3152895408
484	0.3147860149
485	0.3144347236
486	0.3141432711
487	0.3135838264
488	0.3131485857
489	0.3127134017
490	0.3124188504
491	0.3120729246
492	0.3116241899
493	0.3112011985
494	0.3108543833
495	0.3105180433
496	0.3101548726
497	0.3097809411
498	0.309464548
499	0.3090877387
500	0.308671923
501	0.3082947901
502	0.3079370256
503	0.3076181883
504	0.307223119
505	0.3069315511
506	0.3064992883
507	0.3060283039
508	0.3056784778
509	0.3054260066
510	0.30513129
511	0.304765111
512	0.3044328589
513	0.3040793821
514	0.303776375
515	0.3035406854
516	0.3032422765
517	0.3028900085
518	0.3024759528
519	0.3021120583
520	0.3017690975
521	0.3013802077
522	0.3009300976
523	0.3005156293
524	0.30026216
525	0.2999659767
526	0.2996553541
527	0.2993372106
528	0.2989664821
529	0.2986543424
530	0.2983865249
531	0.2979570503
532	0.2976710099
533	0.2972814493
534	0.2969507843
535	0.2967316718
536	0.2964320721
537	0.2961940574
538	0.2958954323
539	0.295600584
540	0.2952769076
541	0.2949660224
542	0.2946645288
543	0.2944209039
544	0.2940360712
545	0.2935751559
546	0.2932433104
547	0.2928175069
548	0.2924940002
549	0.2922478372
550	0.2918923676
551	0.2915581323
552	0.2912614822
553	0.2909817631
554	0.2906210892
555	0.2903227131
556	0.2900371167
557	0.2896321886
558	0.2892701081
559	0.2889647481
560	0.288651906
561	0.28841849
562	0.2880613271
563	0.2878098898
564	0.2874115304
565	0.2871198914
566	0.2867712391
567	0.2864959633
568	0.2862051684
569	0.2858888114
570	0.2856398375
571	0.2852669826
572	0.2849481878
573	0.2845773008
574	0.284281198
575	0.2839886194
576	0.2835077365
577	0.2832196742
578	0.2829533625
579	0.2826938878
580	0.2824283667
581	0.2820256754
582	0.2817849585
583	0.2814245253
584	0.2811398465
585	0.2808398022
586	0.2805430713
587	0.2802965213
588	0.2800445584
589	0.2797722826
590	0.2793968545
591	0.279135476
592	0.2789425066
593	0.2787065415
594	0.278443906
595	0.2781971547
596	0.2778898016
597	0.2776897145
598	0.2773335854
599	0.2770058363
600	0.276717438
601	0.2765608754
602	0.2761518039
603	0.2758703959
604	0.2756553736
605	0.2753231115
606	0.2749988229
607	0.2746893363
608	0.2744788646
609	0.2742565974
610	0.2739828633
611	0.2737468303
612	0.2734564495
613	0.2731888069
614	0.2729648133
615	0.2727311641
616	0.2724594418
617	0.2721759355
618	0.2720045159
619	0.2717555856
620	0.271440184
621	0.2711685465
622	0.2709397299
623	0.2706511324
624	0.2703964426
625	0.2701584584
626	0.2698331742
627	0.2695589922
628	0.2692996168
629	0.269024769
630	0.2688143069
631	0.2685661202
632	0.2682602375
633	0.2680136241
634	0.2677819253
635	0.2674420662
636	0.2672017709
637	0.2669918159
638	0.2667782884
639	0.2664789275
640	0.266225104
641	0.2660167918
642	0.2656859224
643	0.2654687655
644	0.2651901997
645	0.2649388403
646	0.264689339
647	0.2644372942
648	0.2642268224
649	0.2639698513
650	0.2637457141
651	0.2635759269
652	0.2632791474
653	0.2629167072
654	0.262731503
655	0.2624032618
656	0.2621341859
657	0.2618996579
658	0.2616742295
659	0.2613706416
660	0.2611411052
661	0.2609576425
662	0.2606558299
663	0.2603092778
664	0.2600203075
665	0.2598334275
666	0.2596867906
667	0.2594799759
668	0.2592133457
669	0.2588938464
670	0.2586259237
671	0.2583643818
672	0.2581374149
673	0.2578993103
674	0.257682866
675	0.257469415
676	0.2573033532
677	0.2570103039
678	0.2567637108
679	0.256533864
680	0.2562769836
681	0.2560557641
682	0.2557993163
683	0.2555750839
684	0.2553847825
685	0.2551046896
686	0.2549075501
687	0.2546624804
688	0.2544289977
689	0.2541672168
690	0.2538978204
691	0.2537388568
692	0.2534785419
693	0.2532527684
694	0.2529877184
695	0.2528125366
696	0.2525888882
697	0.2523889454
698	0.2521398292
699	0.2519281862
700	0.2517149291
701	0.2514490437
702	0.25121011
703	0.2510653294
704	0.250743151
705	0.2505277563
706	0.2502814067
707	0.2500830276
708	0.2498496052
709	0.2496704441
710	0.2494029263
711	0.2492009428
712	0.2489834159
713	0.2487696495
714	0.2485756044
715	0.2483535982
716	0.2479937613
717	0.2477464586
718	0.24752346
719	0.2473376656
720	0.2471515604
721	0.2469545643
722	0.2467119025
723	0.2465217435
724	0.2463489243
725	0.24617313
726	0.2460489039
727	0.2458378866
728	0.2456079217
729	0.2453889912
730	0.2452271454
731	0.2450345507
732	0.2448081034
733	0.2445715774
734	0.2442947078
735	0.2440740416
736	0.2439029555
737	0.2437506033
738	0.243485855
739	0.2432428856
740	0.243017268
741	0.2427822371
742	0.2425634586
743	0.2423623846
744	0.2421581359
745	0.241852786
746	0.2417141617
747	0.2414601371
748	0.2412810615
749	0.2410846522
750	0.2408088679
751	0.2405697076
752	0.2403928553
753	0.2402073942
754	0.2400281821
755	0.2398173633
756	0.239623158
757	0.2394178125
758	0.2392169512
759	0.2390597768
760	0.2388788108
761	0.2386547744
762	0.2383768399
763	0.2381443091
764	0.2379458783
765	0.2377774148
766	0.2375865628
767	0.2374000411
768	0.2371337811
769	0.2369827477
770	0.2367677701
771	0.2364375199
772	0.2362172018
773	0.2359848646
774	0.2358001591
775	0.2356240842
776	0.2354778558
777	0.2352783272
778	0.2350096622
779	0.2349136522
780	0.2347668594
781	0.2345704577
782	0.2343097671
783	0.2341216744
784	0.2339718792
785	0.2337961579
786	0.2336185732
787	0.2334095184
788	0.2332322313
789	0.2329965634
790	0.2328364483
791	0.2326824279
792	0.2324318214
793	0.232109265
794	0.2319333066
795	0.2317269649
796	0.2315337419
797	0.2313476548
798	0.231171341
799	0.2310264511
800	0.2307906874
801	0.230585239
802	0.2304354026
803	0.2302434108
804	0.2300780154
805	0.2298847506
806	0.2296907755
807	0.2294532973
808	0.2292372024
809	0.2289642503
810	0.2287936189
811	0.2286604958
812	0.2285051702
813	0.2283422886
814	0.2281796773
815	0.2279999959
816	0.2278238376
817	0.227698334
818	0.2275210299
819	0.2272855275
820	0.2270824076
821	0.226941138
822	0.2267458189
823	0.2265870938
824	0.2263942461
825	0.2261915832
826	0.2260004421
827	0.2258462851
828	0.2256918876
829	0.2255366976
830	0.2253621017
831	0.2251301743
832	0.2250071722
833	0.2248189003
834	0.224686176
835	0.2244433427
836	0.2242340953
837	0.2240772014
838	0.2238559913
839	0.2236759714
840	0.2234822204
841	0.223317467
842	0.2231451775
843	0.2229619431
844	0.2228064978
845	0.2225859982
846	0.2224080887
847	0.2221634358
848	0.2219341378
849	0.2217214783
850	0.2215795766
851	0.2214539809
852	0.2212934783
853	0.2211169029
854	0.2209391471
855	0.220774764
856	0.2206631342
857	0.2204961841
858	0.2203517123
859	0.220131227
860	0.2199674997
861	0.2197338571
862	0.2195989031
863	0.2194270907
864	0.2193271452
865	0.2192031493
866	0.2189417926
867	0.2188106646
868	0.2187193969
869	0.2185961523
870	0.2185065372
871	0.2183726805
872	0.2181623409
873	0.2180205773
874	0.2178380629
875	0.217700838
876	0.217534582
877	0.2174003638
878	0.2172188187
879	0.2170644157
880	0.2169279643
881	0.2167370713
882	0.2165318192
883	0.2163164096
884	0.2161641225
885	0.2159672352
886	0.2158101331
887	0.215650861
888	0.2155129477
889	0.215350392
890	0.2151764142
891	0.2149515215
892	0.214759235
893	0.214540903
894	0.2143557132
895	0.2141973443
896	0.2140478535
897	0.2139168704
898	0.2136725179
899	0.2135064811
900	0.2133532049
901	0.2132145692
902	0.2130411221
903	0.2128993058
904	0.2127128383
905	0.2125981301
906	0.2124440229
907	0.2122452296
908	0.2121113446
909	0.2119423431
910	0.2117822772
911	0.2116124019
912	0.2114488283
913	0.2113530824
914	0.2112111399
915	0.2110962429
916	0.2109300894
917	0.2108046675
918	0.2106407423
919	0.210454669
920	0.2102400947
921	0.2100515713
922	0.2099066292
923	0.2097355172
924	0.2096089596
925	0.2094516761
926	0.2093172221
927	0.2091416533
928	0.2089931382
929	0.20882673
930	0.2086760029
931	0.2085361994
932	0.2084266612
933	0.2082737743
934	0.2081507142
935	0.2080120244
936	0.2077326773
937	0.2075999581
938	0.2075045538
939	0.20734852
940	0.2072174175
941	0.2069914452
942	0.2068579934
943	0.2067023393
944	0.2065704583
945	0.2063977535
946	0.2062057432
947	0.206092786
948	0.2059769755
949	0.2058153294
950	0.2056088197
951	0.2054617651
952	0.205264243
953	0.2051422941
954	0.2049094652
955	0.20478853
956	0.2046749972
957	0.2045659093
958	0.2044353595
959	0.2042533044
960	0.204096625
961	0.20394911
962	0.2038046884
963	0.2036398727
964	0.2034681706
965	0.2033187363
966	0.2032089084
967	0.2030999513
968	0.2029498253
969	0.2027813082
970	0.2025889597
971	0.2024788105
972	0.2023147671
973	0.2021559544
974	0.2019838043
975	0.2017888475
976	0.2016765072
977	0.2015083475
978	0.2013625003
979	0.2012052409
980	0.2010630946
981	0.2009504916
982	0.2008501982
983	0.2006760344
984	0.2005567038
985	0.2004392367
986	0.2003245681
987	0.2002072171
988	0.2000733134
989	0.1998973429
990	0.199757296
991	0.1995900596
992	0.1994284426
993	0.1992813286
994	0.1991665439
995	0.1990485121
996	0.1989467581
997	0.1988213989
998	0.1986099933
999	0.1984208118
